carrier,lat,lon
La Poste,48.943878,2.189764
La Poste,48.7772099,1.98627026
La Poste,48.785095,2.181087
La Poste,48.7976,2.1357
La Poste,48.9407861,2.16054192
La Poste,48.809597,2.133658
La Poste,48.879395,2.099918
La Poste,49.005693,2.11666
La Poste,48.989296,1.716888
La Poste,48.7839,2.0406
La Poste,48.897419,2.0897
La Poste,43.200297,2.76429
La Poste,46.321782,-0.461207
La Poste,50.108396,1.834239
La Poste,49.894599,2.296638
La Poste,49.930499,2.933799
La Poste,43.183294,3.007886
La Poste,46.107098,5.824684
La Poste,43.494298,2.375157
La Poste,43.197575,5.802393
La Poste,43.406594,6.064958
La Poste,43.173338,6.531383
La Poste,43.537494,6.461291
La Poste,43.122793,6.010045
La Poste,43.113317,6.135894
La Poste,43.423099,6.77096
La Poste,43.119596,5.801233
La Poste,43.082995,5.876397
La Poste,43.095094,5.838499
La Poste,43.120097,5.942667
La Poste,43.137695,5.985304
La Poste,43.1117,5.938029
La Poste,43.139093,5.902249
La Poste,43.119796,6.12873
La Poste,43.124496,5.930038
La Poste,43.877099,5.391598
La Poste,43.943128,4.804643
La Poste,43.834404,5.035825
La Poste,43.918095,5.053788
La Poste,44.135597,4.81228
La Poste,43.693072,5.502142
La Poste,43.961694,4.859676
La Poste,44.0083,4.873476
La Poste,44.241717,5.073233
La Poste,46.84611,-1.880579
La Poste,46.49994,-1.784819
La Poste,46.582095,0.338
La Poste,46.566495,0.35841
La Poste,45.832392,1.257669
La Poste,45.939894,4.780766
La Poste,48.177092,6.444218
La Poste,48.287294,6.950876
La Poste,47.794979,3.568934
La Poste,45.761179,5.687556
La Poste,47.981175,3.398663
La Poste,48.198898,3.282608
La Poste,47.638493,6.857507
La Poste,48.588994,2.245468
La Poste,48.706396,2.385172
La Poste,44.101577,3.076116
La Poste,48.696599,2.50381
La Poste,48.697192,2.163658
La Poste,48.703493,2.319088
La Poste,48.611497,2.479339
La Poste,48.531825,2.009376
La Poste,48.686312,2.411207
